Name,Service Area,City,State,Zipcode,Street Number,Route,Suite/Apt #,Website,Region,Rep,Phone Number,Email,Locations,Materials,Mound Clays,Blocks,ProSlide Top Dressing,ProSlide Top Dressing,Infield Mix & Amendments
Batavia Turf,Western New York,Elba,NY,14058,6465,Transit Rd.,,www.bataviaturf.com,Northeast,Chuck Hoover,585-261-6370,chuck@bataviaturf.com,www.bataviaturf.com,Packaged Products,DPMC Premium; DPMC Pro; Black Stick,ProLoc Mound Blocks, 6x30 Pro Red; 6x30 Pro Brown, 6x30 Pro Red; 6x30 Pro Brown,DE Classic; DE Collegiate; DE Pro
Belair Road Supply,Southern Delaware,Frankford,DE,19945,6,Hickory St.,,www.belairroadsupply.com,Mid-Atlantic,Tony DiBuo,302-542-4649,brstony@yahoo.com,www.belairroadsupply.com,Packaged Products,DPMC Premium; DPMC Pro; Black Stick,ProLoc Mound Blocks,6x30 Pro Red; 6x30 Pro Brown ,6x30 Pro Red; 6x30 Pro Brown ,DE Classic; DE Collegiate; DE Pro
Synatek Solutions,North Philadelphia NY CT,Souderton,PA,18964,737,Hagey Center Dr.,2404,www.synateksolutions.com,Mid-Atlantic,Bruce Landis,888-408-5433,blandis@synateksolutions.com,www.synateksolutions.com,Packaged Products,DPMC Premium; DPMC Pro; Black Stick,ProLoc Mound Blocks, 6x30 Pro Red; 6x30 Pro Brown, 6x30 Pro Red; 6x30 Pro Brown,DE Classic; DE Collegiate; DE Pro
Target-Specialty Products,Eastern Pennsylvania,Reading,PA,19605,710,Corporate Center Dr.,,www.target-specialty.com,Mid-Atlantic,Alfie Gardiner,610-416-5828,alfie.gardiner@target-specialty.com,www.target-specialty.com,Packaged Products,DPMC Premium; DPMC Pro; Black Stick,ProLoc Mound Blocks, 6x30 Pro Red; 6x30 Pro Brown, 6x30 Pro Red; 6x30 Pro Brown,DE Classic; DE Collegiate; DE Pro
Target-Specialty Products,Northeast ,West Deptford,NJ,08066,1707,Imperial Way,,www.target-specialty.com,Mid-Atlantic,Alfie Gardiner,610-416-5828,alfie.gardiner@target-specialty.com,www.target-specialty.com,Packaged Products,DPMC Premium; DPMC Pro; Black Stick,ProLoc Mound Blocks, 6x30 Pro Red; 6x30 Pro Brown, 6x30 Pro Red; 6x30 Pro Brown,DE Classic; DE Collegiate; DE Pro
Genesis Green Supply,Mid-Atlantic,Glen Rock,PA,17327,137,Commerce Dr.,,www.genesisturfgrass.com,Mid-Atlantic,Todd Cowing,717-759-8151,todd@genesisgreensupply.com,www.genesisturfgrass.com,Packaged Products,DPMC Premium; DPMC Pro; Black Stick,ProLoc Mound Blocks,6x30 Pro Red; 6x30 Pro Brown ,6x30 Pro Red; 6x30 Pro Brown ,DE Classic; DE Collegiate; DE Pro
Anderson Outdoor,Illinois,Paxton,IL,60957,100,W. Hunt St.,,www.andersonssportsturf.com,Midwest,Jeff Anderson,217-249-3793,anderson.jeffreyalan@gmail.com,www.andersonssportsturf.com,Packaged Products,DPMC Premium; DPMC Pro; Black Stick,ProLoc Mound Blocks,6x30 Pro Red; 6x30 Pro Brown ,6x30 Pro Red; 6x30 Pro Brown ,DE Classic; DE Collegiate; DE Pro
Automatic Supply,Indiana,Fishers,IN,46038,116,Shadowlawn Dr.,,www.asksutomatic.com,Midwest,Paul Thoma,317-650-7785,pthoma@askautomatic.com ,www.askautomatic.com,Packaged Products,DPMC Premium; DPMC Pro; Black Stick,ProLoc Mound Blocks,6x30 Pro Red; 6x30 Pro Brown ,6x30 Pro Red; 6x30 Pro Brown ,DE Classic; DE Collegiate; DE Pro
Automatic Supply,Indiana,Fort Wayne,IN,46808,2204,Research Dr.,,www.asksutomatic.com,Midwest,Blake Sievers,260-415-0910,bsievers@askautomatic.com ,www.askautomatic.com,Packaged Products,DPMC Premium; DPMC Pro; Black Stick,ProLoc Mound Blocks,6x30 Pro Red; 6x30 Pro Brown ,6x30 Pro Red; 6x30 Pro Brown ,DE Classic; DE Collegiate; DE Pro
Automatic Supply,Indiana,Indianapolis,IN,46268,5232,W. 79th St.,,www.asksutomatic.com,Midwest,Kurt Cloe,317-409-6101,kclore@askautomatic.com ,www.askautomatic.com,Packaged Products,DPMC Premium; DPMC Pro; Black Stick,ProLoc Mound Blocks,6x30 Pro Red; 6x30 Pro Brown ,6x30 Pro Red; 6x30 Pro Brown ,DE Classic; DE Collegiate; DE Pro
