Name,City,Steet Number,Route,State,Zipcode,Website,Region,Rep,Phone Number,Email,Locations,Materials,Mound Clays,ProSlide,Infield Mix & Amendments
DuraEdge Andover,Andover,50,Airport Rd,NJ,07821,,DuraEdge Facilities,Patrick Coakley,724-870-4625,pcoakley@duraedge.com,,Bulk & Packaged Products,,,
DuraEdge Farmington,Farmington,105,Brickyard Rd,CT,06032,,DuraEdge Facilities,Greg Frederick,724-870-4480,gfrederick@duraedge.com,,Bulk Product Only,,,
DuraEdge Granite City,Granite City,480,Bissel St,IL,62040,,DuraEdge Facilities,Coby Schmucker,724-870-4425,cschmucker@duraedge.com,,Bulk Product Only,,,
DuraEdge Hudson,Hudson,393,South Meridian Rd,MI,49247,,DuraEdge Facilities,Coby Schmucker,724-870-4425,cschmucker@duraedge.com,,Bulk & Packaged Products,,,
DuraEdge Milan,Rock Island,8000,31 St West,IL,61264,,DuraEdge Facilities,Jon Brinkerhoff,724-870-4425,jbrinkerhoff@duraedge.com,,Bulk & Packaged Products,,,
DuraEdge Ogden,Ogden,1070,Century Dr,UT,84403,,DuraEdge Facilities,Jamie Farquhar,724-870-4375,jfarquhar@duraedge.com,,Bulk & Packaged Products,,,
DuraEdge Slippery Rock,Slippery Rock,4783,Harlansburg Rd,PA,16057,,DuraEdge Facilities,janderson@duraedge.com,724-870-4250,janderson@duraedge.com,,Bulk & Packaged Products,,,
DuraEdge Wrentham,Wrentham,35,Cushing Dr,MA,02093,,DuraEdge Facilities,Greg Frederick,724-870-4480,gfrederick@duraedge.com,,Bulk & Packaged Products,,,
DuraEdge Vero Beach,Vero Beach,3505,65th St,FL,32960,,DuraEdge Facilities,Mike Viersma,724-870-4445,mviersma@duraedge.com,,Bulk Product Only,,,
DuraEdge Phoenix,Glendale,7243,N. El Mirage Rd,AZ,85307,,DuraEdge Facilities,Eric Godfrey,724-870-4828,djennings@duraedge.com,,Bulk Products Only,,,
