Name,Address,City,State,Zipcode,Website,Region,Rep,Phone Number,Email,Locations,Materials,Mound Clays,ProSlide,Infield Mix & Amendments
DuraEdge Andover,50 Airport Road,Andover,NJ,07821,,DuraEdge Facilities,Patrick Coakley,724-870-4625,pcoakley@duraedge.com,,Bulk & Packaged Products,,,
DuraEdge Farmington,105 Brickyard Road,Farmington,CT,06032,,DuraEdge Facilities,Greg Frederick,724-870-4480,gfrederick@duraedge.com,,Bulk Product Only,,,
DuraEdge Granite City,480 Bissel Street,Granite City,IL,62040,,DuraEdge Facilities,Coby Schmucker,724-870-4425,cschmucker@duraedge.com,,Bulk Product Only,,,
DuraEdge Hudson,393 South Meridian Road,Hudson,MI,49247,,DuraEdge Facilities,Coby Schmucker,724-870-4425,cschmucker@duraedge.com,,Bulk & Packaged Products,,,
DuraEdge Milan,8000 31 Street West,Rock Island,IL,61264,,DuraEdge Facilities,Jon Brinkerhoff,724-870-4425,jbrinkerhoff@duraedge.com,,Bulk & Packaged Products,,,
DuraEdge Ogden,1070 Century Drive,Ogden,UT,84403,,DuraEdge Facilities,Jamie Farquhar,724-870-4375,jfarquhar@duraedge.com,,Bulk & Packaged Products,,,
DuraEdge Slippery Rock,4783 Harlansburg Road,Slippery Rock,PA,16057,,DuraEdge Facilities,janderson@duraedge.com,724-870-4250,janderson@duraedge.com,,Bulk & Packaged Products,,,
DuraEdge Wrentham,35 Cushing Dr.,Wrentham,MA,02093,,DuraEdge Facilities,Greg Frederick,724-870-4480,gfrederick@duraedge.com,,Bulk & Packaged Products,,,
DuraEdge Vero Beach,3505 65th Street,Vero Beach,FL,32960,,DuraEdge Facilities,Mike Viersma,724-870-4445,mviersma@duraedge.com,,Bulk Product Only,,,
DuraEdge Phoenix,7243 North El Mirage Road,Glendale,AZ,85307,,DuraEdge Facilities,Eric Godfrey,724-870-4828,djennings@duraedge.com,,Bulk Products Only,,,
